ID,ソース・種別,閉塞感内容,詳細・理由・打破アプローチ,関連放送回,タイムスタンプ
H016,年末閉塞感アンケート,"・自分は人の好きなものに対して興味を持とうとするのに、相手は誰も興味を示してくれない。だんだん自分は相手の好きを大切にしているのにどうして自分は大切にしてもらえないのか悲しくなる。

・子供が生まれた人のSNSがいきなり子供一色になること。今まであまり更新がなかった人も急にストーリーズを毎週更新するようになっている。拒絶したいわけではないが変化が大きすぎるので何故そうなるのかよくわからず困惑してしまう。

・人の気持ちを汲むことと決めつけることの違いがわからない。「相手はこう思っているだろう」と推測する行為自体は両方同じはずなのに前者と後者では何が違うのか。","【ジャンル】仕事・職場, 友人・人間関係, 家族・親族, SNS・ネット, 街中・日常生活, 政治・社会, 趣味 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る / 【関連1】第６８２回　感情移入しすぎて疲れてしまう人
私も感情移入しがちなので同じ悩みを持つ人がいるのが嬉しかった。
相談者さんの程度よりは軽いかもしれないが、見たいけれど見るのがこわい作品は多くある。 / 【関連2】第６８２回　感情移入しすぎて疲れてしまう人
素直になって「くらっている」と伝えること。それをうらやましいと思う人もいること。
そんなに重い感情を人に話してもいいものか悩んでいたので、言ってしまってもいいのかと目からウロコでした。",第６８２回,
H017,年末閉塞感アンケート,会議が長く生産性がない,"【ジャンル】仕事・職場, 街中・日常生活, 政治・社会 / 【打破アプローチ】ユーモア・ネタで乗り切る / 【関連1】プロレスって決まった筋書きなのになぜ楽しめるのか？という疑問やひっかかりが個人的にありました。 / 【関連2】プロレスは虚実皮膜論的楽しみがあるという視点を教えてもらい、今でもプロレスを目にするたびに思い出します。",,
H018,年末閉塞感アンケート,私は毎日実家の母とビデオ通話しています。私の時間が取れるのが深夜なので、まだ夕食も取れていない状態で通話をしています。主に母が話していて、母はいつもご飯に何を食べたとか、何度も聞いた話を繰り返すとかで20〜30分くらい経ってしまい、空腹で疲れていることもあり、イライラしてしまうことも多いです。ただ、母が精神的に不安定で私も心配なので、この日課をやめることは難しそうです。（母の身近な話し相手は私しかいません。）何とか10分くらいの通話でさくっと終わらせたいと思っていますが、うまくいかず、閉塞感を感じています。,"【ジャンル】仕事・職場, 家族・親族, 街中・日常生活 / 【打破アプローチ】価値観を変える・視点をズラす, 忘れる / 【関連1】0円ファン / 【関連2】理不尽な相手を人間だと思わない",,
H019,年末閉塞感アンケート,"電車に乗っているとよく感じるのですが、想像力の欠けている人が多くて閉塞感を感じています。
自身の安全や、荷物等に関する他社への配慮よりもスマホを優先し、揺れているにも関わらずつり革や手すりにつかまろうとしない人。前に立つ人や通りかかる人などのことなどお構いなしに足を組んで座っている人。動線を阻んでいるため奥が空いているにも関わらず、自分からは動かない人。ちょっと考えればみんなが快適とまでは言わなくても不快さの軽減ぐらいはできるのに、自分の行為が撒き散らす迷惑に対して想像力が働かない人が多くて困っています。","【ジャンル】仕事・職場, SNS・ネット, 街中・日常生活, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, 物理的な工夫で解決する",,
H020,年末閉塞感アンケート,将来がうっすら不安,"【ジャンル】将来がうっすら不安 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る / 【関連1】アロマンティックを公言するか否か（590回） / 【関連2】ボンヤリ友達を作る",第590回,
H021,年末閉塞感アンケート,チケットが買えない,【ジャンル】趣味 / 【打破アプローチ】価値観を変える・視点をズラす / 【関連1】アーティストを勧めると宗教的になる / 【関連2】撮影できないと思い出に出来ない(500回),第500回,
H022,年末閉塞感アンケート,友達が欲しいけど1人が好き,"【ジャンル】仕事・職場, 友人・人間関係, 趣味 / 【打破アプローチ】価値観を変える・視点をズラす, 新しい習慣・行動を試す",,
H023,年末閉塞感アンケート,学歴コンプレックス,"【ジャンル】学校・勉強, 友人・人間関係, SNS・ネット, 政治・社会 / 【打破アプローチ】とりあえず趣味などに没頭する / 【関連1】第628回13年目の真実の回のCDはどうあるべきかという閉塞感です。たっちレディオで度々取り上げられていますが、正解がない問題だと思っていて、これからどう付き合っていくかは時代とともに変わっていくのだろうなと思っています。 / 【関連2】第530回ロスは恥だが役に立つの回かなと思います。推しのロス問題は長年の日本の社会問題でもあると思いますし、結局ロスでも良いんだ!という結末に思わず唸ってしまった記憶があります。この回の放送あたりから聞き始めた者ではありますが(それもあってか)特に印象の強い回だったと思います。
あと打破なのか分かりませんがプレゼント選手権はすごく参考になりました。",第628回,
H024,年末閉塞感アンケート,"日常での閉塞感があまりないので、ちょっと重めのやつを吐き出します。
SNS等で散見される、インプレ稼ぎのデマや嘘について、特に日本vs他国といった対立を煽るような悪意あるポストが拡散されている場合、歴史や文化を知らない外国人が間違った知識を信じてしまったり、haterが集まって罵り合ったりと、状況が悪化の一途を辿りがちなことにモヤります。

私は長く海外に住んでいた経験から、日本の良さを外から知ることができて、それを世界に広めたい、日本のプレゼンスを上げたいと思っているので、真逆の動きに閉塞感を覚えてしまいます。

haterに対してはどんなに言葉を尽くしたところで意味ないことは理解しているし、悪意がある人は世界的に見れば一部だとは思うものの、日本の悪質なデマを流したり、街中や文化財に対して迷惑行為をするYouTuber等もいます。

ネットやスマホの普及とともに、教養に乏しい層も簡単にSNS等を通じて情報を得られ、偏った思想や差別・ヘイトの拡散に加担し、情報リテラシーや知識に格差が生まれている状況に危機感を覚えつつも、個人ではどうすることも出来ないのでモヤるばかりです…。

（答えが無さすぎてふつおたに書けないので、ここで成仏させてください。長いうえにゲームにも役立たなそうな閉塞感で申し訳ございません…！）","【ジャンル】SNS・ネット, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る, 家族など近い関係の人と議論する / 【関連1】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る, 家族など近い関係の人と議論する / 【関連2】家族の問題（兄弟の前科でしたっけ…）について恋人に話す背中を押してほしいというメールに対して、深い関係になりそうな相手に、どこまでを自己として開示するかという議論に発展したこと。例えば、家族はあくまで他人か、自分を構成する一部かなど、その人の育った環境や価値観によって、色々な意見が出てきそうで面白いと思ったので、印象に残っています。",,
H025,年末閉塞感アンケート,自分の限界なのか、伸び代なのか見極めが出来ているのかわからないところ。,"【ジャンル】自分の限界なのか、伸び代なのか見極めが出来ているのかわからないところ。 / 【打破アプローチ】新しい習慣・行動を試す, 物理的な工夫で解決する / 【関連2】最近だと学歴のコンプレックスをワーホリで解消。",,
H026,年末閉塞感アンケート,"20代中盤のOLらしい典型的な閉塞感を感じています。恋愛及び結婚、仕事(今後のキャリアをどの方向に舵を切るか)勉強や自己研鑽…など今後の人生について悩むことが多いです。

一番の悩みは恋愛です。結婚願望はあるので一年以上マッチングアプリをやり数十人と会ってきたが、長く続くような出会いがなく…。

自分に問題があるのかなぁ、皆はどのような閉塞感を感じているんだろう、と悩んだ時は過去回も遡ってたっちレディオを聞いています。","【ジャンル】友人・人間関係, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, 新しい習慣・行動を試す / 【関連1】第555回 手芸を副業に、の回 
まさにわたしも手芸を趣味兼副業としてやっており御三方の捉え方は参考になりました / 【関連2】第541回 孤独との戦い方については大変印象に残っています
コロナ禍のこの相談者さん程では無いですが、定期的に孤独感や寂しさに苛まれた時はこの回を聞いています",第555回,
H027,年末閉塞感アンケート,飲食店などで客が年下、特に学生の店員に対して敬語を使っていない様子を見るとモヤッとする。サービスを提供してくれてるんだから丁寧に接しろよというか、客と店は持ちつ持たれつの関係なんだからせめて互いに気持ちよく過ごせるように気を遣おうよと思う。,"【ジャンル】SNS・ネット, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る / 【関連1】第687回　東大に行った彼のために一年浪人するべきか？の話 / 【関連2】第715回　バンドでパートを固定する必要はない",第687回,
H028,年末閉塞感アンケート,①所謂「名前のない家事」を実施するタイミングが夫婦間で異なる　②職場がPCで作成できる書類を紙出力の方が早い！と手書きでやるよう求められる。PC慣れしているので、手書きの方が明らかに時間がかかるが、所属一年目のため文句が言いづらい,"【ジャンル】仕事・職場, 家族・親族 / 【打破アプローチ】諦め / 【関連1】恋愛系（彼氏がプロポーズしてこない）",,
H029,年末閉塞感アンケート,米が高い・渋谷駅がダンジョン・最寄り駅にホームドアがないので人身事故が多い,"【ジャンル】SNS・ネット, 街中・日常生活, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る, 新しい習慣・行動を試す / 【関連1】「おばさん」を自称することについて（燃えたため） / 【関連2】スマホ捨てろ（捨てられてない）",,
H030,年末閉塞感アンケート,"街中で苦手な音があるので、それと戦っています。
小銭が擦れる音が苦手です。
バスの中で小銭をニギニギする方に遭遇すると大変です。
普通に使用する時に出る音は平気なのですが、擦れる音がどうにも苦手に感じてしまいます。
イヤホンや意識をそらすことで、なんとかやり過ごしていますが、はやくキャッシュレス化が全国民に浸透してほしいなと思ってしまいます（笑）","【ジャンル】街中・日常生活 / 【打破アプローチ】価値観を変える・視点をズラす, 物理的な工夫で解決する / 【関連1】父親の浮気を告発するかどうかのお悩み（第454回） / 【関連2】上記のお悩みに対して、「その正義感が全員にとって正しいのか」という視点から、相談者が浮気を告発することで起こりうるリスクがあることをしっかり提示されていました。私自身も、自分が口をつぐむことで守った人間関係があったので、数年ぶりに自分のその時の行動が救われた気持ちになりました。",第454回,
H031,年末閉塞感アンケート,挫折を繰り返しながら夢を追いかける人生なので閉塞感だらけです💦,"【ジャンル】仕事・職場 / 【打破アプローチ】新しい習慣・行動を試す, 科学的な方法を取り入れる, 物理的な工夫で解決する",,
H032,年末閉塞感アンケート,古参PC周り担当と自認していたが、様々な状況で意欲の減退を感じている,"【ジャンル】仕事・職場, 趣味 / 【打破アプローチ】価値観を変える・視点をズラす, 科学的な方法を取り入れる, 物理的な工夫で解決する",,
H033,年末閉塞感アンケート,AIにより自分の得意ジャンル消滅,"【ジャンル】SNS・ネット, 政治・社会 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る, 新しい習慣・行動を試す, 科学的な方法を取り入れる, 物理的な工夫で解決する,",,
H034,年末閉塞感アンケート,人よりも劣らないように何事も気を張って頑張っています。ここ、15年、育児を優先し我慢ばかりしていたら、自分のやりたいことがわからなくなった。そんな自分を誰も見てくれてない。,"【ジャンル】仕事・職場, 趣味 / 【打破アプローチ】新しい習慣・行動を試す / 【関連1】人からのいわれのない評価 / 【関連2】知識を身につける",,
H035,年末閉塞感アンケート,"30代に入り、周りから結婚を求められることが増えました。相手だっていないし、結婚したいとも思っていないのに。
これがわたしの最大の閉塞感です。
やっぱり結婚してる人が偉いのですか？","【ジャンル】仕事・職場, 友人・人間関係 / 【打破アプローチ】価値観を変える・視点をズラす, ユーモア・ネタで乗り切る / 【関連1】恋愛相談 / 【関連2】恋愛相談と結婚観についてです",,
H036,カード原案 (C109),いつもの道が、なぜか遠回り…,朝の通勤路、信号や工事、ゆっくり歩く人…理由は分からないのに、今日はやけに長い散歩みたいになっている。,,
H037,カード原案 (C110),開けようとしたページが、見つからない…,ブラウザのタブを何度も探すけど見つからない。まるで本棚の隙間に吸い込まれた一冊の本みたい。,,
H038,カード原案 (C111),ルーティンワークで、ふと手が止まる…,エクセルに数字を打ちながら、急に「ここはどこだっけ？」と別の世界にトリップしたように固まる。,,
H039,カード原案 (C112),『またこれか…』って、つい出ちゃう時,書類の同じ修正依頼メールが今日3回目。脳内でため息のエコーが響く。,,
H040,カード原案 (C113),BGMが、急に途切れた感じ…,カフェで作業中、急に音楽が止まり、空調の音だけがやけに大きく聞こえる。心まで静まり返る瞬間。,,
H041,カード原案 (C114),言いたいこと、喉元でUターン…,会議でいいアイデアが浮かぶも、タイミングを逃して自分の中に引き返す。まるで高速出口を通り過ぎた車みたい。,,
H042,カード原案 (C115),頭の中、整理整頓したいなぁ…,机の上も頭の中も書類だらけ。何から手を付けるべきか迷ううちに、さらに散らかっていく感覚。,,
H043,カード原案 (C116),心のアクセル、踏み込めない…,スタートラインでエンジンはかかっているのに、ギアを入れられずに空ぶかしだけしているような日。,,
H044,カード原案 (C117),自分ルールに、縛られてるかも…,「メールは朝しか返信しない」…自分で決めたルールが足かせになっているのに、なぜか手放せない。,,
H045,カード原案 (C118),解決策、検索中… (でも見つからない),Googleを5ページ目まで漁っても欲しい答えがない。出口のない迷路を歩き回っている気分。,,
H046,カード原案 (C119),ドアノブに、手が届かない…,ゴール目前、あと一歩の距離がなぜか遠い。手を伸ばしても空をつかむようなもどかしさ。,,
H047,カード原案 (C120),あと一歩が、なぜか重い…,メールの送信ボタンひとつ押すだけなのに、その指が鉛のように動かない。,,
H048,カード原案 (C121),予定表の、空白が怖い…,来週のスケジュールに真っ白なページ。解放感よりも、じわじわ広がる不安。,,
H049,カード原案 (C122),自分の中の、信号がずっと赤…,やるべきことが目の前にあるのに、心の交通信号が「進むな」と言い続ける。,,
H050,カード原案 (C123),リセットボタン、どこだっけ…,ゲームなら一発なのに、人生の設定を元に戻すコマンドは見当たらない。,,
H051,カード原案 (C124),会話のテンポに、ついてけない時…,話題が次々と変わる飲み会で、自分だけ古いチャンネルのラジオを聴いているような感覚。,,
H052,カード原案 (C125),みんなが知ってる歌、私だけ知らない…,カラオケで突然始まった大合唱。口パクでごまかしながら、孤島に取り残された気分。,,
H053,カード原案 (C126),窓の外だけ、時間が進んでる感じ…,自分の机の上は朝のままなのに、外は夕暮れの色。時間が外と中で別の速度を刻んでいる。,,
H054,カード原案 (C127),自分だけ、違う場所にいるみたい…,同じ会議室にいるのに、話題や空気がまったく噛み合わない。,,
H055,カード原案 (C128),SNSの『いいね』が、やけに遠い…,投稿しても反応ゼロ。砂漠に向かって声を投げたみたいな静けさ。,,
H056,テストプレイ進行お題,YouTubeのおすすめ動画を見ていたら、いつの間にか外が暗い。どうすればやめられる？,YouTubeのおすすめ動画をダラダラ見て時間が過ぎてしまう閉塞感,,
